"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID1382","CAT04","ITM29","25+6+6X35","25","6","6","23","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1382","CAT04","ITM30","30+7+7X40","30","7","7","23","16","41","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1382","CAT04","ITM31","35+8+8X45","35","8","8","23","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1383","CAT03","ITM21","22+7+7X40","22","7","7","14","16","41","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1383","CAT03","ITM22","30+9+9X55","30","9","9","15","22","56","HDPE","MAS01","Yes","Kg.","1","10P/Bag","علاقي هوك"
"CID1383","CAT04","ITM29","26X35","26","0","0","30","14","36","HDPE","MAS01","Yes","Kg.","1","10P/Bag","بنانة"
"CID202","CAT08","ITM60","36+13+13X74","36","13","13","44","بدون","74","LDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID1323","CAT04","ITM28","20X25","20","0","0","13","10","25","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1384","CAT04","ITM29","25+6+6X35","25","6","6","30","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1384","CAT04","ITM31","33+8+8X50","33","8","8","30","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID1325","CAT05","ITM35","0X0","0","0","0","4","بدون","0","HDPE","MAS01","No","3 Roll","0.5","30P/Bag","بدون"
"CID1325","CAT05","ITM35","0X110","0","0","0","4","بدون","110","HDPE","MAS01","No","6 Roll","1","6R/P x 20P/Bag","بدون"
"CID1358","CAT03","ITM24","52+9+9X60","52","9","9","35","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID009","CAT08","ITM56","15X20","15","0","0","12","8","20","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID009","CAT08","ITM57","21X25","21","0","0","13","10","25","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1385","CAT03","ITM22","30+9+9X45","30","9","9","13","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID900","CAT03","ITM20","26+7+7X45","26","7","7","20","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID1393","CAT01","ITM03","30+11+11X50","30","11","11","45","20","51","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1393","CAT01","ITM05","40+16+16X81","40","16","16","45","32","81","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID1393","CAT01","ITM06","44+18+18X99","44","18","18","45","39","99","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID900","CAT03","ITM25","60+15+15X0","60","15","15","28","بدون","0","HDPE","MAS01","No","Kg.","1","20K/Bag","علاقي"
