id,customer_id,category_id,item_id,size_caption,width,left_facing,right_facing,thickness,printing_cylinder,cutting_length_cm,raw_material,master_batch_id,is_printed,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg,cliche_front_design,cliche_back_design,notes,status,created_at
1760,CID1063,CAT03,ITM22,26+8+8X45,26,8,8,15,18,46,HDPE,PT-111111,TRUE,كيلو,علاقي هوك,1,20,20,,,10P/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1761,CID1063,CAT03,ITM23,34+12+12X50,34,12,12,15,20,51,HDPE,PT-111111,TRUE,كيلو,علاقي هوك,1,20,20,,,10P/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1762,CID1063,CAT03,ITM24,32+9+9X60,32,9,9,15,24,61,HDPE,PT-111111,TRUE,كيلو,علاقي هوك,1,20,20,,,10P/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1763,CID1064,CAT04,ITM31,35+5+5X45,35,5,5,45,18,46,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1764,CID1064,CAT04,ITM32,50+5+5X71,50,5,5,50,28,71,HDPE,PT-111111,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:33 GMT+0000 (Coordinated Universal Time)
1766,CID1065,CAT04,ITM31,40+7+7X60,40,7,7,42,24,61,HDPE,PT-CLEAR,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:34 GMT+0000 (Coordinated Universal Time)
1767,CID1015,CAT04,ITM33,60+20+20X100,60,20,20,35,39,100,HDPE,PT-CLEAR,TRUE,كيلو,بنانة,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:34 GMT+0000 (Coordinated Universal Time)
1768,CID754,CAT02,ITM15,0X0,0,0,0,14,بدون طباعة,0,Regrind,PT-000000,FALSE,رول,بدون,0.9,20,18,,,20K/Bag,active,Thu Aug 21 2025 16:50:34 GMT+0000 (Coordinated Universal Time)
1769,CID972,CAT08,ITM59,20X30,20,0,0,14,12,30,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:50:34 GMT+0000 (Coordinated Universal Time)
1770,CID1066,CAT05,ITM35,32+9+9X110,32,9,9,4,بدون طباعة,110,HDPE,PT-CLEAR,FALSE,باكت,بدون,0.8,20,16,,,5R/Bag,active,Thu Aug 21 2025 16:50:34 GMT+0000 (Coordinated Universal Time)
