id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
417,20,PT-130231,كيلو,بدون,1,20,20
418,24,PT-130231,كيلو,بدون,1,20,20
419,32,PT-130232-B,كيلو,بدون,1,20,20
420,20,PT-180122,كيلو,بدون,1,20,20
421,28,PT-111111,كيلو,بدون,1,20,20
422,32,PT-130232-B,كيلو,بدون,1,20,20
423,بدون طباعة,PT-111111,باكت,بدون,1,20,20
424,بدون طباعة,PT-000000,باكت,بدون,0.9,20,18
425,بدون طباعة,PT-000000,باكت,بدون,0.9,20,18
426,بدون طباعة,PT-000000,باكت,بدون,0.9,20,18
427,بدون طباعة,PT-000000,باكت,بدون,0.9,20,18
428,بدون طباعة,PT-111111,رول,بدون,0.9,20,18
429,بدون طباعة,PT-130231,رول,بدون,0.9,20,18
430,بدون طباعة,PT-140352,رول,بدون,0.9,20,18
431,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
432,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
433,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
434,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
435,18,PT-111111,كيلو,بدون,1,20,20
436,20,PT-111111,كيلو,بدون,1,20,20
437,26,PT-111111,كيلو,بدون,1,20,20
438,32,PT-111111,كيلو,بدون,1,20,20
439,10,PT-CLEAR,كيلو,بدون,1,20,20
440,10,PT-CLEAR,كيلو,بدون,1,20,20
441,12,PT-CLEAR,كيلو,بدون,1,20,20
442,12,PT-CLEAR,كيلو,بدون,1,20,20
443,16,PT-CLEAR,كيلو,بدون,1,20,20
444,بدون طباعة,PT-111111,رول,بدون,0.9,20,18
445,بدون طباعة,PT-130231,رول,بدون,0.9,20,18
446,بدون طباعة,PT-140352,رول,بدون,0.9,20,18
447,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
448,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
449,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
450,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
451,بدون طباعة,PT-111111,باكت,بدون,1,20,20
452,بدون طباعة,PT-111111,رول,بدون,0.8,20,16
453,بدون طباعة,PT-111111,رول,بدون,1.8,10,18
454,16,PT-111111,كيلو,بدون,1,20,20
455,20,PT-111111,كيلو,بدون,1,20,20
456,24,PT-111111,كيلو,بدون,1,20,20
457,28,PT-111111,كيلو,بدون,1,20,20
458,32,PT-111111,كيلو,بدون,1,20,20
459,بدون طباعة,PT-111111,باكت,بدون,1,20,20
460,30,PT-130232-B,كيلو,علاقي,1,20,20
461,بدون طباعة,PT-111111,باكت,بدون,0.9,20,18
462,بدون طباعة,PT-111111,باكت,بدون,1,20,20
463,20,PT-111111,كيلو,بدون,1,20,20
464,بدون طباعة,PT-111111,كرتون,بدون,2.5,1,2.5
465,بدون طباعة,PT-130231,كرتون,بدون,2.5,1,2.5
466,بدون طباعة,PT-111111,رول,بدون,1,20,20
467,18,PT-111111,كيلو,بدون,1,20,20
468,22,PT-CLEAR,كيلو,بدون,1,20,20
469,32,PT-CLEAR,كيلو,بدون,1,20,20
470,18,PT-111111,كيلو,بدون,1,20,20
471,20,PT-111111,كيلو,بدون,1,20,20
472,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
473,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
474,18,PT-111111,كيلو,بدون,1,20,20
475,22,PT-111111,كيلو,بدون,1,20,20
476,28,PT-111111,كيلو,بدون,1,20,20
477,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
478,20,PT-140340,كيلو,بدون,1,20,20
479,بدون طباعة,PT-140340,كيلو,بدون,1,20,20
480,32,PT-140340,كيلو,بدون,1,20,20
481,14,PT-CLEAR,كيلو,بدون,1,20,20
482,16,PT-CLEAR,كيلو,بدون,1,20,20
483,20,PT-CLEAR,كيلو,بدون,1,20,20
484,بدون طباعة,PT-111111,باكت,بدون,0.9,20,18
485,بدون طباعة,PT-111111,رول,بدون,0.8,20,16
486,بدون طباعة,PT-111111,رول,بدون,1.8,10,18
487,بدون طباعة,PT-000000,باكت,بدون,1,20,20
488,بدون طباعة,PT-000000,باكت,بدون,1.2,10,12
489,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
490,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
491,بدون طباعة,PT-111111,رول,بدون,0.9,20,18
492,بدون طباعة,PT-130231,رول,بدون,0.9,20,18
493,بدون طباعة,PT-140340,رول,بدون,0.9,20,18
494,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
495,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
496,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
497,بدون طباعة,PT-000000,رول,بدون,0.9,20,18
498,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
499,18,PT-111111,كيلو,بدون,1,20,20
500,20,PT-111111,كيلو,بدون,1,20,20
501,24,PT-111111,كيلو,بدون,1,20,20
502,بدون طباعة,PT-111111,كيلو,علاقي,1,20,20
503,20,PT-111111,كيلو,بدون,1,20,20
504,24,PT-CLEAR,كيلو,بدون,1,20,20
505,18,PT-120074,كيلو,بدون,1,20,20
